subset,AB_full,rmA,rmB,rm_both,Da,Db,A-only_full,B-only_full,neither_full
none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.012,0.0,0.0,0.0,0.012,0.012,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.012,0.0,0.0,-0.012,0.0,0.0,0.0,0.471
8+12,0.207,0.012,0.0,0.0,0.195,0.207,0.0,0.057,0.0
8+16,0.037,0.0,0.0,0.0,0.037,0.037,0.0,0.019,0.0
8+20,0.049,0.0,0.0,0.0,0.049,0.049,0.0,0.0,0.353
12+16,0.037,0.0,0.0,0.0,0.037,0.037,0.0,0.0,0.0
12+20,0.098,0.0,0.0,0.0,0.098,0.098,0.0,0.038,0.647
16+20,0.012,0.012,0.0,0.0,0.0,0.012,0.0,0.0,0.588
8+12+16,0.317,0.061,0.0,0.0,0.256,0.317,0.0,0.132,0.0
8+12+20,0.5,0.159,0.024,0.0,0.341,0.476,0.0,0.132,0.588
8+16+20,0.171,0.049,0.012,0.0,0.122,0.159,0.0,0.057,0.588
12+16+20,0.256,0.049,0.0,0.0,0.207,0.256,0.0,0.132,0.471
8+12+16+20,0.622,0.22,0.012,0.0,0.402,0.61,0.0,0.434,0.412
